"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Dallas Cowboys","","46.5","14.5","11.9","18.7","2.7","0.0","358.7","5,676.7","115.7"
"Philadelphia Eagles","","53.4","12.6","9.5","16.1","2.7","0.4","358.8","5,567.1","114.5"
"New England Patriots","","45.3","14.8","9.4","13.8","2.9","0.1","358.8","5,706.9","111.2"
"Pittsburgh Steelers","","49.7","14.7","8.8","13.0","2.0","0.1","349.3","5,615.2","109.1"
"Cleveland Browns","","45.6","14.1","9.7","15.0","2.5","0.2","364.9","5,573.9","108.8"
"Kansas City Chiefs","","46.7","13.0","9.9","14.7","2.5","0.5","373.7","5,740.6","108.3"
"San Francisco 49ers","","47.6","13.4","10.0","16.0","2.3","0.0","314.9","5,501.1","108.1"
"Washington Commanders","","47.8","12.9","9.5","15.4","2.3","0.5","380.0","5,655.2","107.3"
"Miami Dolphins","","45.8","13.7","9.6","15.1","2.3","0.5","366.8","5,593.8","107.2"
"Indianapolis Colts","","44.0","13.3","10.8","16.6","2.1","0.9","386.9","5,668.5","106.5"
"New Orleans Saints","","46.5","14.0","9.1","12.9","2.3","0.2","335.2","5,335.9","106.5"
"Buffalo Bills","","43.7","14.9","9.6","13.6","2.0","0.6","327.6","5,573.6","106.2"
"Green Bay Packers","","42.6","14.9","8.9","13.5","2.4","0.5","370.6","5,810.9","105.6"
"New York Jets","","45.3","13.5","8.7","13.4","2.3","1.0","354.9","5,495.2","105.5"
"Seattle Seahawks","","43.8","13.6","9.9","15.3","2.0","0.7","380.9","5,940.7","104.4"
"Los Angeles Chargers","","42.6","14.2","9.8","15.6","2.1","0.6","399.4","6,130.9","104.4"
"Detroit Lions","","42.1","13.3","10.3","15.9","2.3","0.6","411.5","6,176.1","104.0"
"Houston Texans","","41.2","13.9","10.6","14.7","2.1","0.5","391.5","5,750.8","103.5"
"Minnesota Vikings","","42.4","13.7","9.9","14.5","2.2","0.2","421.7","6,120.4","103.2"
"Baltimore Ravens","","44.9","12.4","10.0","16.4","2.1","0.2","345.7","5,773.1","102.8"
"Tampa Bay Buccaneers","","43.0","11.9","11.0","17.1","2.1","0.1","379.0","5,693.0","101.6"
"Jacksonville Jaguars","","39.3","13.3","10.1","16.1","2.4","0.0","359.2","5,707.3","100.4"
"Denver Broncos","","41.6","14.1","9.5","15.1","1.9","0.1","369.4","5,682.4","100.2"
"New York Giants","","41.1","12.6","10.2","17.4","2.0","0.5","389.1","6,022.5","100.1"
"Cincinnati Bengals","","40.0","13.7","10.0","15.8","2.1","0.1","350.6","5,771.9","99.9"
"Tennessee Titans","","41.3","13.8","8.5","12.7","2.3","0.1","356.0","5,613.5","99.9"
"Los Angeles Rams","","43.4","13.1","8.3","12.3","2.2","0.1","397.7","5,888.9","99.8"
"Carolina Panthers","","40.7","12.1","9.7","13.1","2.3","0.3","369.8","5,581.5","98.8"
"Atlanta Falcons","","34.6","14.1","9.9","16.3","2.3","0.6","378.8","5,844.9","97.6"
"Arizona Cardinals","","40.8","11.9","10.0","15.5","2.1","0.1","413.2","5,838.0","97.2"
"Chicago Bears","","35.8","12.7","9.5","14.6","1.9","0.6","402.1","6,263.6","93.1"
"Las Vegas Raiders","","36.6","10.4","9.0","13.8","2.2","0.5","419.3","6,106.9","89.7"
""
""