"Player","Team","ATT","YDS","TDS","REC","RYDS","RTDS","FL","FPTS"
"Â ","","",""
"Christian McCaffrey","SF","218.7","1,011.7","7.4","74.8","631.9","4.2","0.5","307.6"
"Austin Ekeler","LAC","191.2","863.6","9.4","77.7","605.5","3.9","1.5","301.7"
"Saquon Barkley","NYG","253.9","1,134.2","7.9","53.2","379.6","1.7","0.7","260.8"
"Tony Pollard","DAL","222.8","1,116.7","8.2","45.3","378.4","2.2","0.5","256.2"
"Bijan Robinson","ATL","249.0","1,186.0","8.9","40.6","337.3","2.0","1.9","254.8"
"Derrick Henry","TEN","307.8","1,346.9","9.4","32.0","271.0","0.8","1.8","251.5"
"Josh Jacobs","LV","259.0","1,212.0","9.6","38.8","286.1","0.8","1.2","248.9"
"Nick Chubb","CLE","279.3","1,369.0","9.1","28.2","234.8","1.1","1.1","247.5"
"Joe Mixon","CIN","229.3","959.3","7.5","50.0","368.8","2.2","0.6","239.4"
"Aaron Jones","GB","200.2","988.4","5.6","49.6","374.0","2.7","1.3","232.5"
"Jonathan Taylor","IND","276.1","1,263.4","8.3","32.1","226.5","0.8","2.1","231.7"
"Rhamondre Stevenson","NE","208.2","935.6","5.7","50.6","361.6","1.3","1.0","220.7"
"Najee Harris","PIT","256.0","1,013.3","6.6","38.2","260.2","2.2","1.0","216.3"
"Travis Etienne","JAC","217.8","1,072.1","6.4","35.0","283.9","0.9","2.3","209.9"
"James Conner","ARI","213.8","911.8","6.8","41.0","297.7","1.3","0.8","208.8"
"Alexander Mattison","MIN","215.3","942.4","8.1","34.4","236.1","1.6","1.0","208.6"
"Jahmyr Gibbs","DET","179.5","789.3","6.6","44.7","354.6","2.0","1.5","207.6"
"Rachaad White","TB","207.2","846.5","4.6","48.1","341.1","1.9","2.7","200.5"
"Dameon Pierce","HOU","257.8","1,080.0","5.8","32.7","216.6","1.1","2.1","199.8"
"Kenneth Walker","SEA","228.9","1,040.2","8.2","25.9","173.8","0.6","0.4","199.5"
"Breece Hall","NYJ","178.5","845.8","5.7","37.0","333.1","1.9","1.1","198.3"
"Miles Sanders","CAR","218.1","1,014.1","6.0","29.6","208.0","0.7","1.4","189.6"
"James Cook","BUF","165.6","842.8","4.9","35.4","272.8","1.8","1.5","184.2"
"J.K. Dobbins","BAL","174.7","891.7","6.8","24.4","173.5","1.7","0.4","181.3"
"David Montgomery","DET","194.3","777.1","6.3","33.4","277.0","1.2","1.0","181.3"
"Cam Akers","LAR","233.4","984.5","6.4","24.0","199.8","0.6","2.2","180.5"
"Isiah Pacheco","KC","196.7","937.1","6.8","24.3","199.7","0.7","1.9","179.5"
"Alvin Kamara","NO","170.2","702.6","3.6","41.8","360.8","1.7","1.1","177.9"
"Javonte Williams","DEN","167.8","782.8","4.6","34.8","246.4","1.5","1.6","170.9"
"D'Andre Swift","PHI","117.8","554.3","4.8","39.9","328.4","1.8","0.8","165.8"
"Antonio Gibson","WAS","139.1","559.1","3.6","42.6","309.7","1.4","1.1","157.7"
"Dalvin Cook","NYJ","178.3","767.2","4.6","27.4","207.5","1.0","1.6","155.5"
"Samaje Perine","DEN","160.9","668.7","4.1","30.1","239.6","1.5","0.4","153.9"
"AJ Dillon","GB","166.7","728.4","5.6","24.8","195.9","0.7","0.7","153.9"
"Khalil Herbert","CHI","173.0","849.0","5.0","20.8","138.7","0.8","0.4","153.6"
"Brian Robinson Jr.","WAS","209.6","883.3","4.3","16.2","105.1","0.7","0.5","144.3"
"Jeff Wilson Jr.","MIA","136.4","632.7","4.4","22.5","172.2","1.1","1.3","133.4"
"Raheem Mostert","MIA","139.3","615.4","3.4","23.4","164.9","1.0","0.8","125.7"
"Jamaal Williams","NO","160.2","658.6","5.3","14.1","106.6","0.5","0.7","124.1"
"Jerick McKinnon","KC","57.1","223.6","1.6","37.6","324.9","3.1","0.2","120.1"
"Zach Charbonnet","SEA","125.4","540.6","3.5","23.1","185.9","0.8","1.0","119.4"
"Jaylen Warren","PIT","114.8","510.1","3.1","25.0","209.3","0.5","0.4","117.7"
"Rashaad Penny","PHI","152.2","735.7","5.0","8.3","55.9","0.2","0.7","117.4"
"Elijah Mitchell","SF","140.9","639.8","4.1","13.1","94.8","0.8","0.3","115.1"
"Tyler Allgeier","ATL","149.0","691.5","3.4","12.1","92.8","0.4","0.3","112.3"
"Ezekiel Elliott","NE","142.4","552.9","4.2","15.7","116.2","0.5","0.8","109.0"
"Devin Singletary","HOU","124.5","527.3","2.7","22.7","163.8","0.4","1.2","107.8"
"Kenneth Gainwell","PHI","95.7","417.4","3.9","22.1","169.8","0.7","0.3","107.6"
"Chuba Hubbard","CAR","112.2","524.5","3.1","17.6","154.5","0.5","0.7","105.6"
"Damien Harris","BUF","119.4","533.1","3.8","16.9","115.6","0.4","0.7","105.3"
"De'Von Achane","MIA","111.0","446.2","2.7","20.3","171.9","0.8","0.9","101.5"
"Tank Bigsby","JAC","110.7","441.5","2.8","17.8","145.5","0.7","0.9","96.0"
"D'Onta Foreman","CHI","126.6","629.7","3.2","7.0","51.2","0.2","0.6","94.2"
"Gus Edwards","BAL","118.1","557.5","3.0","6.7","58.6","0.2","0.9","85.4"
"Cordarrelle Patterson","ATL","69.8","298.8","2.3","19.1","156.1","0.8","0.2","82.7"
"Kyren Williams","LAR","95.8","382.9","1.8","16.3","135.0","0.4","0.6","79.7"
"Tyjae Spears","TEN","94.3","369.7","1.9","15.3","128.5","0.6","0.8","78.6"
"Chase Edmonds","TB","68.2","311.0","1.5","18.8","154.0","0.7","0.4","78.0"
"Roschon Johnson","CHI","94.6","429.0","2.2","9.5","106.9","0.5","1.0","77.8"
"Joshua Kelley","LAC","92.9","380.5","2.3","13.6","115.6","0.3","0.9","76.7"
"Clyde Edwards-Helaire","KC","75.1","317.7","2.1","13.2","113.7","0.9","0.3","74.1"
"Ty Chandler","MIN","90.6","333.8","2.0","13.8","116.7","0.6","0.7","72.9"
"Chase Brown","CIN","71.0","289.2","1.7","16.9","139.5","0.6","0.8","72.0"
"Jerome Ford","CLE","95.7","351.0","1.7","10.5","100.9","0.5","0.6","68.0"
"Kendre Miller","NO","88.1","314.4","1.6","11.8","114.5","0.5","0.8","66.1"
"Keaontay Ingram","ARI","73.5","302.2","1.8","13.7","95.6","0.3","0.4","65.1"
"Abram Smith","MIN","0.0","173.4","1.2","16.2","126.5","0.6","0.1","56.9"
"Matt Breida","NYG","59.1","264.4","1.2","12.4","100.5","0.3","0.8","56.0"
"Latavius Murray","BUF","61.9","278.7","1.6","9.7","71.8","0.2","0.0","55.3"
"Deuce Vaughn","DAL","70.8","240.7","1.3","10.9","95.6","0.5","0.7","53.9"
"Kenyan Drake","IND","54.1","228.3","1.2","13.0","97.4","0.2","0.2","53.7"
"Zack Moss","IND","64.6","281.6","1.2","9.2","60.5","0.2","0.5","50.9"
"Corey Clement","ARI","56.7","206.2","1.7","11.8","81.3","0.2","0.4","50.8"
"Isaiah Spiller","LAC","69.4","269.3","1.2","7.9","71.6","0.3","0.3","49.9"
"Zamir White","LV","58.6","249.8","1.9","8.3","39.2","0.2","0.2","49.5"
"Ronald Jones II","DAL","62.2","296.2","1.8","4.4","40.7","0.1","0.5","49.0"
"Zach Evans","LAR","58.4","222.7","1.3","9.1","86.4","0.4","0.5","48.9"
"JaMycal Hasty","JAC","36.9","178.2","1.0","13.1","95.1","0.4","0.2","48.3"
"Sean Tucker","TB","61.2","242.3","1.0","9.2","76.9","0.3","0.3","48.0"
"Ameer Abdullah","LV","28.1","97.1","0.4","18.4","140.5","0.6","0.1","47.7"
"Michael Carter","NYJ","41.2","158.9","0.6","13.5","127.3","0.4","0.3","47.4"
"Eric Gray","NYG","50.4","213.0","0.8","8.5","71.6","0.4","0.8","42.5"
"Melvin Gordon III","BAL","38.7","175.7","0.9","10.5","82.4","0.3","0.8","41.8"
"Ke'Shawn Vaughn","TB","55.6","219.8","1.3","6.9","45.7","0.2","0.6","41.0"
"Raheem Blackshear","CAR","31.5","118.3","1.2","10.9","80.8","0.3","0.4","38.6"
"Trayveon Williams","CIN","52.4","192.4","0.7","8.0","61.2","0.2","0.9","37.3"
"Chris Rodriguez Jr.","WAS","39.1","164.0","0.8","8.7","60.4","0.2","0.2","36.7"
"Chris Evans","CIN","40.1","141.5","0.5","9.9","80.0","0.4","0.2","36.6"
"Hassan Haskins","TEN","34.6","136.2","0.5","11.1","78.5","0.3","0.2","36.6"
"Evan Hull","IND","51.2","199.5","0.7","5.2","70.1","0.1","0.2","36.5"
"Ty Montgomery","NE","22.4","65.1","0.2","14.4","103.5","0.5","0.0","35.6"
"DeeJay Dallas","SEA","19.8","121.9","0.6","9.7","81.3","0.3","0.1","34.9"
"Jordan Mason","SF","51.2","231.7","0.9","2.9","32.3","0.1","0.2","34.7"
"Pierre Strong Jr.","NE","45.2","185.1","0.7","5.2","62.6","0.2","0.2","34.7"
"Rico Dowdle","DAL","48.1","166.6","0.8","6.4","54.2","0.2","0.1","34.5"
"Kyle Juszczyk","SF","9.7","34.1","0.4","13.0","116.2","0.6","0.0","34.0"
"Kene Nwangwu","MIN","44.7","153.1","0.9","7.3","50.8","0.2","0.2","33.9"
"Craig Reynolds","DET","23.3","113.5","0.6","8.9","73.0","0.3","0.1","33.3"
"Deon Jackson","IND","41.0","85.4","0.3","12.3","86.5","0.3","0.5","32.3"
"Anthony McFarland Jr.","PIT","21.5","128.7","0.6","8.2","52.6","0.2","0.1","31.1"
"Dare Ogunbowale","HOU","17.1","88.5","0.6","9.4","70.2","0.2","0.1","30.4"
"Malik Davis","DAL","48.1","162.2","0.9","3.7","42.3","0.1","0.2","29.7"
"DeWayne McBride","MIN","55.7","166.2","0.7","3.4","51.0","0.1","0.2","29.2"
"Tyler Badie","DEN","17.2","88.7","0.4","9.5","56.8","0.2","0.1","27.7"
"Demetric Felton Jr.","CLE","20.2","79.4","0.2","10.1","70.1","0.2","0.1","27.6"
"Travis Homer","CHI","17.7","91.4","0.3","8.3","71.4","0.2","0.1","27.6"
"Boston Scott","PHI","30.2","138.9","1.1","3.6","34.0","0.1","0.2","27.5"
"Zonovan Knight","NYJ","32.0","131.6","0.4","5.7","49.0","0.2","0.2","26.9"
"Kenny McIntosh","SEA","39.0","146.9","0.5","4.0","49.1","0.0","0.2","26.3"
"Patrick Taylor Jr.","GB","22.3","106.8","0.7","6.2","36.0","0.2","0.1","25.7"
"Tyrion Davis-Price","SF","36.3","143.2","0.5","3.6","45.7","0.1","0.2","25.6"
"Deneric Prince","KC","31.4","117.5","0.5","5.4","46.9","0.2","0.2","25.4"
"Damien Williams","LV","27.4","83.7","0.5","7.0","39.8","0.5","0.1","25.2"
"D'Ernest Johnson","JAC","31.7","131.3","0.4","4.7","39.0","0.1","0.0","24.8"
"Ty Johnson","BUF","15.3","65.5","0.2","8.7","66.2","0.3","0.2","24.5"
"Hunter Luepke","DAL","18.0","51.1","0.6","6.9","47.5","0.6","0.0","24.3"
"Gary Brightwell","NYG","18.1","95.7","0.7","6.0","33.5","0.2","0.1","23.8"
"Tony Jones Jr.","DEN","25.5","97.2","0.6","6.0","36.3","0.2","0.1","23.5"
"James Robinson","NYG","44.0","139.6","0.2","4.0","44.8","0.1","0.4","23.2"
"John Kelly Jr.","CLE","19.0","81.5","0.5","5.8","43.3","0.3","0.2","22.5"
"Kevin Harris","NE","31.5","125.2","0.5","3.1","31.4","0.1","0.1","22.1"
"Reggie Gilliam","BUF","4.4","18.6","0.2","9.0","66.0","0.5","0.0","21.5"
"Alec Ingold","MIA","5.0","13.2","0.1","10.3","70.3","0.4","0.0","21.4"
"Justice Hill","BAL","19.2","81.9","0.3","6.4","40.3","0.2","0.2","20.7"
"Kirk Merritt","NO","9.1","38.7","0.3","7.4","58.1","0.3","0.1","20.6"
"Brandon Bolden","LV","20.2","67.8","0.5","5.1","46.8","0.2","0.1","20.3"
"Salvon Ahmed","MIA","31.7","97.1","0.1","4.3","52.1","0.1","0.0","20.3"
"Snoop Conner","JAC","20.8","95.0","0.8","3.2","20.1","0.1","0.1","19.9"
"Lew Nichols III","GB","25.5","102.3","0.5","4.0","27.1","0.0","0.1","19.8"
"Brittain Brown","LV","17.3","77.2","0.6","4.1","33.6","0.1","0.0","19.2"
"Myles Gaskin","MIA","30.3","89.5","0.1","4.4","56.2","0.1","0.4","19.2"
"Jonathan Williams","WAS","40.2","89.9","0.5","3.4","24.0","0.2","0.0","18.8"
"Elijah Dotson","LAC","15.7","65.8","0.6","4.5","32.0","0.2","0.1","18.6"
"J.J. Taylor","NE","4.4","67.7","0.5","4.3","29.1","0.2","0.1","17.9"
"C.J. Ham","MIN","5.9","16.9","0.1","8.0","45.6","0.3","0.0","16.8"
"Zander Horvath","LAC","6.1","14.3","0.0","5.9","24.9","1.1","0.0","16.6"
"Julius Chestnut","TEN","13.6","48.3","0.1","5.7","38.4","0.2","0.1","15.9"
"Ty'Son Williams","ARI","19.4","69.3","0.4","3.7","24.6","0.1","0.1","15.6"
"Trey Sermon","PHI","21.6","74.6","0.1","3.8","35.1","0.1","0.2","15.4"
"Royce Freeman","LAR","11.5","64.9","0.3","4.2","25.2","0.1","0.1","15.2"
"Patrick Ricard","BAL","5.8","16.6","0.1","7.0","43.0","0.3","0.4","14.4"
"Jaleel McLaughlin","DEN","18.0","62.3","0.2","3.8","27.6","0.1","0.1","14.4"
"Mike Boone","HOU","21.0","70.2","0.2","2.8","26.5","0.1","0.0","14.4"
"Godwin Igwebuike","ATL","0.0","7.8","0.1","6.6","47.3","0.2","0.0","14.0"
"La'Mical Perine","KC","4.2","17.6","0.2","5.0","35.6","0.3","0.0","13.4"
"Jonathan Ward","TEN","10.1","42.8","0.2","3.7","27.9","0.2","0.0","12.8"
"Jermar Jefferson","DET","4.6","19.4","0.2","4.4","34.6","0.3","0.0","12.5"
"Ronnie Rivers","LAR","14.3","47.0","0.0","4.1","28.4","0.1","0.1","12.2"
"Darrynton Evans","BUF","11.3","36.7","0.1","4.5","26.4","0.1","0.1","11.9"
"Trestan Ebner","CHI","16.2","54.5","0.1","3.0","25.0","0.1","0.1","11.7"
"Qadree Ollison","JAC","4.5","18.7","0.2","4.5","32.2","0.2","0.0","11.7"
"Jake Funk","IND","8.4","35.3","0.2","3.5","24.9","0.2","0.0","11.5"
"Patrick Laird","TB","4.3","18.0","0.2","4.3","31.7","0.2","0.0","11.3"
"Jason Cabinda","DET","4.6","12.5","0.1","4.4","33.3","0.3","0.0","11.3"
"Giovanni Ricci","CAR","4.7","19.7","0.2","4.1","30.0","0.2","0.0","11.1"
"Larry Rountree III","HOU","4.3","17.6","0.0","4.7","35.6","0.2","0.0","11.1"
"Spencer Brown","CAR","4.7","19.7","0.2","4.1","28.5","0.2","0.0","10.9"
"Nate McCrary","GB","5.4","22.6","0.1","3.8","28.5","0.2","0.0","10.6"
"Gerrid Doaks","HOU","4.7","19.7","0.1","4.0","27.8","0.2","0.0","10.3"
"Avery Williams","ATL","5.5","23.1","0.2","3.4","22.1","0.2","0.0","10.0"
"Adam Prentice","NO","4.8","16.3","0.1","4.0","23.5","0.2","0.0","9.7"
"Jaret Patterson","WAS","10.1","33.6","0.2","2.4","16.2","0.1","0.0","9.2"
"Jakob Johnson","LV","8.3","19.1","0.1","4.3","18.8","0.1","0.1","9.0"
"Henry Pearson","GB","0.0","13.1","0.1","3.7","16.4","0.2","0.0","8.6"
"Michael Burton","DEN","4.7","12.1","0.1","3.4","19.2","0.2","0.0","8.3"
"Jack Colletto","SF","0.0","7.3","0.1","3.6","16.3","0.2","0.0","7.5"
"Jason Huntley","IND","5.0","14.6","0.1","2.2","17.4","0.1","0.0","6.7"
"Khari Blasingame","CHI","5.7","13.5","0.1","2.6","12.2","0.1","0.0","6.7"
"Keith Smith","ATL","5.5","12.4","0.1","2.7","11.4","0.1","0.0","6.5"
"Mohamed Ibrahim","DET","13.3","41.8","0.0","0.0","15.5","0.0","0.1","5.6"
"Nick Bellore","SEA","4.4","9.3","0.0","2.3","15.7","0.1","0.0","5.3"
"Nick Bawden","NYJ","0.0","2.2","0.1","2.9","9.2","0.1","0.0","5.2"
"Ellis Merriweather","NO","0.0","10.2","0.1","0.5","3.7","0.0","0.0","2.6"
"Tyler Goodson","GB","0.0","10.2","0.1","0.5","2.6","0.0","0.0","2.4"
"Alex Armah Jr.","WAS","1.5","6.4","0.0","0.3","1.8","0.0","0.0","1.4"
"Dwayne Washington","DEN","0.0","3.6","0.0","0.5","4.4","0.0","0.0","1.4"
"Clint Ratkovich","ATL","0.0","0.0","0.0","0.2","1.4","0.0","0.0","0.3"
"Keaton Mitchell","BAL","38.0","123.7","0.0","0.0","45.9","0.0","0.2","0.0"
"Israel Abanikanda","NYJ","83.7","306.1","0.2","0.0","113.6","0.1","0.5","0.0"
"Darrel Williams","NO","36.7","117.1","0.0","0.0","72.6","0.0","0.2","0.0"
""
""